SQL Query,Injection Type,Vulnerability Status
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Time-based,Yes
SELECT * FROM products WHERE name = 'apple',None,No
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Union-based,Yes
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
DELETE FROM orders WHERE order_id = 1,None,No
DELETE FROM orders WHERE order_id = 1,None,No
SELECT email FROM customers WHERE email = '100 OR 1=1',Boolean-based,Yes
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM products WHERE name = '100',None,No
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Error-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Boolean-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
SELECT * FROM users WHERE id = '100',None,No
SELECT * FROM users WHERE id = '1',None,No
SELECT email FROM customers WHERE email = '' OR 1=1;--',Boolean-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Time-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=john.doe@example.com,None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Time-based,Yes
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Time-based,Yes
DELETE FROM orders WHERE order_id = 100,None,No
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Union-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=john.doe@example.com,None,No
SELECT * FROM users WHERE id = '100',None,No
SELECT email FROM customers WHERE email = '100 OR 1=1',Boolean-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
UPDATE accounts SET balance=500 WHERE id=2,None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Time-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Union-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
DELETE FROM orders WHERE order_id = 1,None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Time-based,Yes
SELECT * FROM products WHERE name = '100',None,No
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = '100 OR 1=1',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Union-based,Yes
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Boolean-based,Yes
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Union-based,Yes
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Boolean-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Boolean-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=apple,None,No
UPDATE accounts SET balance=500 WHERE id=john.doe@example.com,None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Boolean-based,Yes
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Error-based,Yes
SELECT email FROM customers WHERE email = '100 OR 1=1',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Boolean-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
SELECT * FROM products WHERE name = '100',None,No
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT * FROM products WHERE name = '1',None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Union-based,Yes
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Time-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Error-based,Yes
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
SELECT * FROM products WHERE name = '100',None,No
DELETE FROM orders WHERE order_id = 1,None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Boolean-based,Yes
SELECT * FROM products WHERE name = 'apple',None,No
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id=2,None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Time-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Union-based,Yes
SELECT * FROM products WHERE name = '100 OR 1=1',Boolean-based,Yes
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM users WHERE id = '100',None,No
SELECT email FROM customers WHERE email = '100',None,No
SELECT * FROM users WHERE id = '' OR 1=1;--',Time-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT email FROM customers WHERE email = 'apple',None,No
SELECT * FROM users WHERE id = '' OR '1'='1';--',Time-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Error-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Time-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Union-based,Yes
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Time-based,Yes
SELECT * FROM users WHERE id = '100',None,No
SELECT * FROM users WHERE id = '2',None,No
DELETE FROM orders WHERE order_id = '; DROP TABLE products;--,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
SELECT * FROM products WHERE name = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT * FROM products WHERE name = 'apple',None,No
DELETE FROM orders WHERE order_id = apple,None,No
SELECT email FROM customers WHERE email = '100',None,No
SELECT email FROM customers WHERE email = '' OR 1=1;--',Union-based,Yes
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM products WHERE name = '' OR 1=1;--',Union-based,Yes
SELECT * FROM products WHERE name = '100 OR 1=1',Boolean-based,Yes
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Boolean-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Boolean-based,Yes
SELECT email FROM customers WHERE email = '100 OR 1=1',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Boolean-based,Yes
SELECT * FROM users WHERE id = '2',None,No
DELETE FROM orders WHERE order_id = 100 OR 1=1,Time-based,Yes
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Boolean-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Error-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Boolean-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
UPDATE accounts SET balance=500 WHERE id=1,None,No
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Time-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Union-based,Yes
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM users WHERE id = '' OR 1=1;--',Error-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
DELETE FROM orders WHERE order_id = 100,None,No
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Error-based,Yes
SELECT * FROM products WHERE name = '100',None,No
SELECT * FROM products WHERE name = '' OR 1=1;--',Error-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Union-based,Yes
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
SELECT * FROM products WHERE name = 'apple',None,No
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
SELECT * FROM users WHERE id = 'apple',None,No
SELECT * FROM products WHERE name = '2',None,No
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Union-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Error-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT email FROM customers WHERE email = '1',None,No
UPDATE accounts SET balance=500 WHERE id=apple,None,No
SELECT * FROM users WHERE id = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = 'apple',None,No
DELETE FROM orders WHERE order_id = 1,None,No
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100,None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Time-based,Yes
DELETE FROM orders WHERE order_id = 100,None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Error-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
DELETE FROM orders WHERE order_id = 100,None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Error-based,Yes
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=apple,None,No
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Union-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Union-based,Yes
SELECT * FROM products WHERE name = '' OR '1'='1';--',Union-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Error-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = '' OR 1=1;--',Boolean-based,Yes
SELECT * FROM users WHERE id = 'john.doe@example.com',None,No
DELETE FROM orders WHERE order_id = 1,None,No
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Union-based,Yes
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Time-based,Yes
SELECT * FROM users WHERE id = '2',None,No
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Error-based,Yes
SELECT * FROM products WHERE name = '2',None,No
SELECT * FROM products WHERE name = '2',None,No
SELECT email FROM customers WHERE email = '100',None,No
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Error-based,Yes
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
SELECT * FROM users WHERE id = '100 OR 1=1',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Error-based,Yes
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Error-based,Yes
DELETE FROM orders WHERE order_id = 100,None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
SELECT * FROM products WHERE name = '100',None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Time-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Boolean-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Boolean-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Time-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Union-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Union-based,Yes
DELETE FROM orders WHERE order_id = 2,None,No
SELECT * FROM users WHERE id = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = '100',None,No
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Boolean-based,Yes
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Time-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Error-based,Yes
SELECT * FROM users WHERE id = '100',None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Time-based,Yes
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Boolean-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
SELECT email FROM customers WHERE email = '2',None,No
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Union-based,Yes
SELECT email FROM customers WHERE email = 'apple',None,No
DELETE FROM orders WHERE order_id = apple,None,No
UPDATE accounts SET balance=500 WHERE id=apple,None,No
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Error-based,Yes
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Boolean-based,Yes
SELECT * FROM users WHERE id = '1',None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Time-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Union-based,Yes
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
SELECT * FROM products WHERE name = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Time-based,Yes
SELECT * FROM products WHERE name = '100',None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Error-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
DELETE FROM orders WHERE order_id = 2,None,No
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=john.doe@example.com,None,No
SELECT email FROM customers WHERE email = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Boolean-based,Yes
DELETE FROM orders WHERE order_id = 2,None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM products WHERE name = '2',None,No
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
DELETE FROM orders WHERE order_id = 1,None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Union-based,Yes
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = '2',None,No
DELETE FROM orders WHERE order_id = apple,None,No
SELECT * FROM users WHERE id = '1',None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Time-based,Yes
SELECT * FROM products WHERE name = '1',None,No
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Union-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM products WHERE name = '2',None,No
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Union-based,Yes
SELECT * FROM users WHERE id = '' OR '1'='1';--',Union-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Boolean-based,Yes
DELETE FROM orders WHERE order_id = '; DROP TABLE products;--,Error-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
SELECT * FROM users WHERE id = '100 OR 1=1',Error-based,Yes
SELECT * FROM products WHERE name = 'apple',None,No
SELECT * FROM users WHERE id = '100',None,No
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Union-based,Yes
SELECT * FROM users WHERE id = '1',None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT * FROM products WHERE name = '' OR '1'='1';--',Error-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Time-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=2,None,No
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Union-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Union-based,Yes
SELECT * FROM products WHERE name = '1',None,No
DELETE FROM orders WHERE order_id = 2,None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Union-based,Yes
SELECT * FROM users WHERE id = '2',None,No
DELETE FROM orders WHERE order_id = 100 OR 1=1,Error-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Time-based,Yes
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Union-based,Yes
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Time-based,Yes
DELETE FROM orders WHERE order_id = 1,None,No
SELECT email FROM customers WHERE email = '100 OR 1=1',Boolean-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Boolean-based,Yes
SELECT * FROM users WHERE id = '1',None,No
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Error-based,Yes
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Time-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Boolean-based,Yes
SELECT email FROM customers WHERE email = 'apple',None,No
DELETE FROM orders WHERE order_id = ' OR '1'='1';--,Time-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Union-based,Yes
SELECT email FROM customers WHERE email = '' OR 1=1;--',Time-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Union-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Error-based,Yes
SELECT * FROM products WHERE name = '1',None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Error-based,Yes
